snapshot_id,collected_at_pt,sport,league,event_id,event_start_utc,venue,venue_city,venue_state,venue_indoor,latitude,longitude,weather_time_utc,source,observation_type,temperature_2m,apparent_temperature,relative_humidity_2m,precipitation_probability,precipitation,rain,snowfall,weather_code,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m
OPEN_METEO-FORECAST-401858225-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401858225,2026-09-17T23:30:00+00:00,Acrisure Stadium,Pittsburgh,PA,False,40.44062,-79.99589,2026-09-17T23:00Z,OPEN_METEO_FORECAST,FORECAST,76.6,84.8,89,8,0.0,0.0,0.0,3,992.8,3.8,267,13.6
OPEN_METEO-FORECAST-401816975-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816975,2026-09-17T16:35:00+00:00,PNC Park,Pittsburgh,Pennsylvania,False,40.44062,-79.99589,2026-09-17T17:00Z,OPEN_METEO_FORECAST,FORECAST,79.1,86.7,86,12,0.0,0.0,0.0,3,995.2,6.9,241,14.3
OPEN_METEO-FORECAST-401816974-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816974,2026-09-17T16:40:00+00:00,Great American Ball Park,Cincinnati,Ohio,False,39.12711,-84.51439,2026-09-17T17:00Z,OPEN_METEO_FORECAST,FORECAST,92.3,96.8,42,0,0.0,0.0,0.0,0,992.1,8.2,281,15.9
OPEN_METEO-FORECAST-401816976-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816976,2026-09-17T23:15:00+00:00,Citi Field,Queens,New York,False,40.68149,-73.83652,2026-09-17T23:00Z,OPEN_METEO_FORECAST,FORECAST,74.0,77.3,82,6,0.0,0.0,0.0,2,1017.5,8.8,173,20.4
OPEN_METEO-FORECAST-401816978-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816978,2026-09-17T23:40:00+00:00,Rate Field,Chicago,Illinois,False,41.85003,-87.65005,2026-09-17T23:00Z,OPEN_METEO_FORECAST,FORECAST,68.0,71.6,97,8,0.0,0.0,0.0,3,1000.8,7.2,4,14.3
OPEN_METEO-FORECAST-401869941-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401869941,2026-09-24T23:30:00+00:00,Brooks Stadium (SC),Conway,SC,False,35.0887,-92.4421,2026-09-24T23:00Z,OPEN_METEO_FORECAST,FORECAST,83.4,84.0,44,2,0.0,0.0,0.0,2,1006.4,5.8,36,3.6
OPEN_METEO-FORECAST-401817063-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817063,2026-09-24T16:35:00+00:00,PNC Park,Pittsburgh,Pennsylvania,False,40.44062,-79.99589,2026-09-24T17:00Z,OPEN_METEO_FORECAST,FORECAST,59.8,59.8,88,21,0.0,0.0,0.0,3,996.6,4.9,120,13.2
OPEN_METEO-FORECAST-401817065-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817065,2026-09-24T18:10:00+00:00,Kauffman Stadium,Kansas City,Missouri,False,39.09973,-94.57857,2026-09-24T18:00Z,OPEN_METEO_FORECAST,FORECAST,74.7,74.3,54,23,0.0,0.0,0.0,3,991.2,6.5,84,8.9
OPEN_METEO-FORECAST-401817066-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817066,2026-09-24T18:20:00+00:00,Wrigley Field,Chicago,Illinois,False,41.85003,-87.65005,2026-09-24T18:00Z,OPEN_METEO_FORECAST,FORECAST,64.7,62.3,77,5,0.004,0.0,0.0,51,1001.8,11.3,7,6.9
OPEN_METEO-FORECAST-401817062-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817062,2026-09-24T22:05:00+00:00,Citizens Bank Park,Philadelphia,Pennsylvania,False,39.95238,-75.16362,2026-09-24T22:00Z,OPEN_METEO_FORECAST,FORECAST,63.2,59.8,56,12,0.0,0.0,0.0,3,1022.7,6.1,62,10.5
OPEN_METEO-FORECAST-401817061-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817061,2026-09-24T22:45:00+00:00,Fenway Park,Boston,Massachusetts,False,42.35843,-71.05977,2026-09-24T23:00Z,OPEN_METEO_FORECAST,FORECAST,56.2,50.3,68,23,0.0,0.0,0.0,1,1024.5,11.6,41,15.2
OPEN_METEO-FORECAST-401817064-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817064,2026-09-24T23:05:00+00:00,Yankee Stadium,Bronx,New York,False,40.93815,-73.83208,2026-09-24T23:00Z,OPEN_METEO_FORECAST,FORECAST,62.3,57.5,55,15,0.0,0.0,0.0,3,1020.7,8.8,58,13.2
OPEN_METEO-FORECAST-401817060-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817060,2026-09-24T23:15:00+00:00,Truist Park,Atlanta,Georgia,False,33.749,-84.38798,2026-09-24T23:00Z,OPEN_METEO_FORECAST,FORECAST,82.2,83.6,45,6,0.0,0.0,0.0,3,982.1,3.7,25,10.1
OPEN_METEO-FORECAST-401817056-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817056,2026-09-24T01:40:00+00:00,Sutter Health Park,Sacramento,California,False,38.58157,-121.4944,2026-09-24T02:00Z,OPEN_METEO_FORECAST,FORECAST,85.5,79.1,14,0,0.0,0.0,0.0,1,1005.5,5.7,189,7.4
OPEN_METEO-FORECAST-401817059-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817059,2026-09-24T02:10:00+00:00,Dodger Stadium,Los Angeles,California,False,34.05223,-118.24368,2026-09-24T02:00Z,OPEN_METEO_FORECAST,FORECAST,77.7,78.3,55,0,0.0,0.0,0.0,0,999.7,6.7,217,5.6
OPEN_METEO-FORECAST-401872937-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872937,2026-09-20T17:00:00+00:00,Soldier Field,Chicago,IL,False,41.85003,-87.65005,2026-09-20T17:00Z,OPEN_METEO_FORECAST,FORECAST,66.3,68.3,95,60,0.004,0.0,0.0,51,992.0,8.2,55,20.4
OPEN_METEO-FORECAST-401872939-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872939,2026-09-20T17:00:00+00:00,Nissan Stadium,Nashville,TN,False,36.16589,-86.78444,2026-09-20T17:00Z,OPEN_METEO_FORECAST,FORECAST,92.5,97.7,40,2,0.0,0.0,0.0,1,995.7,5.2,198,7.4
OPEN_METEO-FORECAST-401872946-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872946,2026-09-20T17:00:00+00:00,Gillette Stadium,Foxborough,MA,False,42.06538,-71.24783,2026-09-20T17:00Z,OPEN_METEO_FORECAST,FORECAST,54.2,53.2,87,24,0.016,0.016,0.0,51,1008.9,2.7,171,10.7
OPEN_METEO-FORECAST-401872936-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872936,2026-09-20T17:00:00+00:00,MetLife Stadium,East Rutherford,NJ,False,40.83399,-74.09709,2026-09-20T17:00Z,OPEN_METEO_FORECAST,FORECAST,64.7,66.0,96,70,0.13,0.13,0.0,63,1013.0,8.3,142,24.4
OPEN_METEO-FORECAST-401872935-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872935,2026-09-20T17:00:00+00:00,Raymond James Stadium,Tampa,FL,False,27.94752,-82.45843,2026-09-20T17:00Z,OPEN_METEO_FORECAST,FORECAST,90.6,99.4,47,5,0.0,0.0,0.0,0,1012.3,3.6,120,4.9
OPEN_METEO-FORECAST-401872938-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872938,2026-09-20T17:00:00+00:00,M&T Bank Stadium,Baltimore,MD,False,39.29038,-76.61219,2026-09-20T17:00Z,OPEN_METEO_FORECAST,FORECAST,79.0,80.9,63,29,0.0,0.0,0.0,3,1010.8,9.1,200,18.6
OPEN_METEO-FORECAST-401872940-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872940,2026-09-20T20:05:00+00:00,Empower Field at Mile High,Denver,CO,False,39.73915,-104.9847,2026-09-20T20:00Z,OPEN_METEO_FORECAST,FORECAST,74.7,71.7,37,44,0.0,0.0,0.0,3,838.0,9.8,37,5.6
OPEN_METEO-FORECAST-401872941-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872941,2026-09-20T20:05:00+00:00,SoFi Stadium,Inglewood,CA,False,33.96168,-118.35313,2026-09-20T20:00Z,OPEN_METEO_FORECAST,FORECAST,77.0,79.2,53,0,0.0,0.0,0.0,0,1007.6,8.7,215,5.6
OPEN_METEO-FORECAST-401872942-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872942,2026-09-20T20:25:00+00:00,Levi's Stadium,Santa Clara,CA,False,37.35411,-121.95524,2026-09-20T20:00Z,OPEN_METEO_FORECAST,FORECAST,72.9,71.1,46,0,0.0,0.0,0.0,3,1010.2,5.1,360,4.7
